t, value
0, 6.95165e-310
0.01, 4.98333e-05
0.02, 0.000198667
0.03, 0.0004455
0.04, 0.000789334
0.05, 0.00122917
0.06, 0.00176401
0.07, 0.00239285
0.08, 0.00311469
0.09, 0.00392855
0.1, 0.00483342
0.11, 0.0058283
0.12, 0.0069122
0.13, 0.00808414
0.14, 0.0093431
0.15, 0.0106881
0.16, 0.0121182
0.17, 0.0136323
0.18, 0.0152295
0.19, 0.0169088
0.2, 0.0186692
0.21, 0.0205098
0.22, 0.0224295
0.23, 0.0244273
0.24, 0.0265024
0.25, 0.0286536
0.26, 0.0308801
0.27, 0.0331809
0.28, 0.035555
0.29, 0.0380014
0.3, 0.0405192
0.31, 0.0431075
0.32, 0.0457651
0.33, 0.0484913
0.34, 0.0512851
0.35, 0.0541454
0.36, 0.0570714
0.37, 0.0600621
0.38, 0.0631165
0.39, 0.0662338
0.4, 0.069413
0.41, 0.0726531
0.42, 0.0759533
0.43, 0.0793126
0.44, 0.0827301
0.45, 0.0862048
0.46, 0.0897359
0.47, 0.0933224
0.48, 0.0969634
0.49, 0.100658
0.5, 0.104405
0.51, 0.108205
0.52, 0.112055
0.53, 0.115955
0.54, 0.119904
0.55, 0.123902
0.56, 0.127947
0.57, 0.132039
0.58, 0.136176
0.59, 0.140358
0.6, 0.144584
0.61, 0.148853
0.62, 0.153164
0.63, 0.157516
0.64, 0.161909
0.65, 0.166342
0.66, 0.170814
0.67, 0.175323
0.68, 0.17987
0.69, 0.184453
0.7, 0.189072
0.71, 0.193725
0.72, 0.198413
0.73, 0.203133
0.74, 0.207886
0.75, 0.21267
0.76, 0.217485
0.77, 0.22233
0.78, 0.227204
0.79, 0.232107
0.8, 0.237037
0.81, 0.241994
0.82, 0.246977
0.83, 0.251986
0.84, 0.257019
0.85, 0.262076
0.86, 0.267156
0.87, 0.272258
0.88, 0.277382
0.89, 0.282527
0.9, 0.287692
0.91, 0.292877
0.92, 0.29808
0.93, 0.303302
0.94, 0.308541
0.95, 0.313796
0.96, 0.319068
0.97, 0.324354
0.98, 0.329656
0.99, 0.334971
1, 0.3403
1.01, 0.345641
1.02, 0.350994
1.03, 0.356359
1.04, 0.361734
1.05, 0.367119
1.06, 0.372514
1.07, 0.377917
1.08, 0.383329
1.09, 0.388748
1.1, 0.394174
1.11, 0.399606
1.12, 0.405044
1.13, 0.410487
1.14, 0.415934
1.15, 0.421386
1.16, 0.426841
1.17, 0.432298
1.18, 0.437758
1.19, 0.443219
1.2, 0.448681
1.21, 0.454144
1.22, 0.459607
1.23, 0.465069
1.24, 0.47053
1.25, 0.47599
1.26, 0.481447
1.27, 0.486902
1.28, 0.492353
1.29, 0.497801
1.3, 0.503244
1.31, 0.508683
1.32, 0.514116
1.33, 0.519544
1.34, 0.524965
1.35, 0.53038
1.36, 0.535788
1.37, 0.541188
1.38, 0.54658
1.39, 0.551963
1.4, 0.557338
1.41, 0.562703
1.42, 0.568058
1.43, 0.573403
1.44, 0.578737
1.45, 0.58406
1.46, 0.589371
1.47, 0.59467
1.48, 0.599957
1.49, 0.605232
1.5, 0.610493
1.51, 0.61574
1.52, 0.620973
1.53, 0.626192
1.54, 0.631397
1.55, 0.636586
1.56, 0.64176
1.57, 0.646918
1.58, 0.652059
1.59, 0.657184
1.6, 0.662293
1.61, 0.667384
1.62, 0.672457
1.63, 0.677513
1.64, 0.68255
1.65, 0.687569
1.66, 0.692569
1.67, 0.69755
1.68, 0.702511
1.69, 0.707453
1.7, 0.712374
1.71, 0.717276
1.72, 0.722156
1.73, 0.727016
1.74, 0.731854
1.75, 0.736671
1.76, 0.741466
1.77, 0.74624
1.78, 0.750991
1.79, 0.755719
1.8, 0.760425
1.81, 0.765108
1.82, 0.769767
1.83, 0.774404
1.84, 0.779016
1.85, 0.783604
1.86, 0.788169
1.87, 0.792709
1.88, 0.797224
1.89, 0.801715
1.9, 0.806181
1.91, 0.810622
1.92, 0.815037
1.93, 0.819427
1.94, 0.823791
1.95, 0.828129
1.96, 0.832441
1.97, 0.836727
1.98, 0.840987
1.99, 0.845219
2, 0.849426
2.01, 0.853605
2.02, 0.857757
2.03, 0.861882
2.04, 0.86598
2.05, 0.870051
2.06, 0.874094
2.07, 0.878109
2.08, 0.882096
2.09, 0.886055
2.1, 0.889987
2.11, 0.89389
2.12, 0.897765
2.13, 0.901611
2.14, 0.905429
2.15, 0.909219
2.16, 0.912979
2.17, 0.916711
2.18, 0.920414
2.19, 0.924089
2.2, 0.927734
2.21, 0.93135
2.22, 0.934937
2.23, 0.938495
2.24, 0.942023
2.25, 0.945522
2.26, 0.948992
2.27, 0.952432
2.28, 0.955843
2.29, 0.959224
2.3, 0.962576
2.31, 0.965898
2.32, 0.969191
2.33, 0.972453
2.34, 0.975686
2.35, 0.978889
2.36, 0.982063
2.37, 0.985206
2.38, 0.98832
2.39, 0.991404
2.4, 0.994459
2.41, 0.997483
2.42, 1.00048
2.43, 1.00344
2.44, 1.00638
2.45, 1.00928
2.46, 1.01216
2.47, 1.015
2.48, 1.01782
2.49, 1.0206
2.5, 1.02336
2.51, 1.02609
2.52, 1.02878
2.53, 1.03145
2.54, 1.03409
2.55, 1.03669
2.56, 1.03927
2.57, 1.04182
2.58, 1.04434
2.59, 1.04683
